Trip,Period,Month,Collection date,Year,Rodent ID,Host Species,Sex,Body Weight (g),Tested chigger,OT positive chigger,OT positive chigger-no. sample,RT positive chigger,RT positive chigger-no samples,Rodent ID,Tested samples,Sero-STG,Sero-STG,Sero-MT,Sero-MT,Sero-SFG,Sero-SFG,Sero-STG only,Sero-MTG only,Sero-SFG only,Sero-STG+MT,Sero-STG+SFG,Sero-MT+SFG,Scrub typhus qPCR,Type of tissue,Genotype,Rickett qPCR,Type of tissue,Genotype,Project,Province,District,Tumbon,MuBaan,Moo,Coordinate,Latitude,Longitude,Note,Rodent with chigger,Number of chigger,Leptotrombidium,Scheogastia,Ascoscheogastia,Gahrliepia (Walchia),Blankaartia,Helenicula,trombiculindus,Microtrombicula,Eutrombicula,Lorillatum,Flea,Tick,Mange mite,Lice,Other  mite,Note,Tick stock
74,Jan-Mar,1,24-Jan-23,2023,LS0272,Rattus tanezumi,M,124,,,,,,LS0272,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Chanthaburi,Kaenghangmaeo,Phawa,Ban Bo Faimai School,4,13.10211 101.75480,13.10211,101.7548,Ban Bo Faimai School,,,,,,,,,,,,,,,,,,,
74,Jan-Mar,1,24-Jan-23,2023,LS0273,Maxomys surifer,F,127,,,,,,LS0273,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Chanthaburi,Kaenghangmaeo,Phawa,Ban Bo Faimai School,4,13.10211 101.75480,13.10211,101.7548,Ban Bo Faimai School,,,,,,,,,,,,,,,,,,,
74,Jan-Mar,1,24-Jan-23,2023,LS0274,Menetes berdmorei,F,197,,,,,,LS0274,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Chanthaburi,Kaenghangmaeo,Phawa,Ban Bo Faimai School,4,13.10211 101.75480,13.10211,101.7548,Ban Bo Faimai School,,,,,,,,,,,,,1,,,,,,
74,Jan-Mar,1,24-Jan-23,2023,LS0275,Menetes berdmorei,F,190,,,,,,LS0275,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Chanthaburi,Kaenghangmaeo,Phawa,Ban Bo Faimai School,4,13.10211 101.75480,13.10211,101.7548,Ban Bo Faimai School,,,,,,,,,,,,,1,,,,,,
74,Jan-Mar,1,24-Jan-23,2023,LS0276,Menetes berdmorei,M,226,,,,,,LS0276,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Chanthaburi,Kaenghangmaeo,Phawa,Ban Bo Faimai School,4,13.10211 101.75480,13.10211,101.7548,Ban Bo Faimai School,,,,,,,,,,,,,,,,,,,
74,Jan-Mar,1,25-Jan-23,2023,LS0277,Rattus tanezumi,F,95,,,,,,LS0277,1,N,,N,,1:400,1,,,1,,,,,,,,,,CBG23,Chanthaburi,Kaenghangmaeo,Phawa,Ban Bo Faimai School,4,13.10211 101.75480,13.10211,101.7548,Ban Bo Faimai School,,,,,,,,,,,,,,,,,,,
74,Jan-Mar,1,25-Jan-23,2023,LS0278,Rattus tanezumi,M,166,,,,,,LS0278,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Chanthaburi,Kaenghangmaeo,Phawa,Ban Bo Faimai School,4,13.10145 101.75634,13.10145,101.75634,Near Wat Khlong Nam Yen,1,145,,,,145,,,,,,,,,,,,,
74,Jan-Mar,1,25-Jan-23,2023,LS0279,Maxomys surifer,F,130,,,,,,LS0279,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Chanthaburi,Kaenghangmaeo,Phawa,Ban Bo Faimai School,4,13.10211 101.75480,13.10211,101.7548,Ban Bo Faimai School,,,,,,,,,,,,,,,,,17,,
74,Jan-Mar,1,25-Jan-23,2023,LS0280,Maxomys surifer,M,142,,,,,,LS0280,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Chanthaburi,Kaenghangmaeo,Phawa,Ban Bo Faimai School,4,13.10211 101.75480,13.10211,101.7548,Ban Bo Faimai School,,,,,,,,,,,,,,,,,40,,
74,Jan-Mar,1,25-Jan-23,2023,LS0281,Chiromyscus chiropus,M,66,,,,,,LS0281,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Chanthaburi,Kaenghangmaeo,Phawa,Ban Bo Faimai School,4,13.10211 101.75480,13.10211,101.7548,Ban Bo Faimai School,,,,,,,,,,,,,,2,,,20,,
